Visitor/Neutral,Home/Neutral,Home/Away Wins
Oklahoma City Thunder,Charlotte Hornets,A
Philadelphia 76ers,Orlando Magic,H
Milwaukee Bucks,Atlanta Hawks,A
Indiana Pacers,Miami Heat,H
Phoenix Suns,Golden State Warriors,H
Memphis Grizzlies,Denver Nuggets,H
Toronto Raptors,Boston Celtics,A
Indiana Pacers,New Orleans Pelicans,H
Atlanta Hawks,Chicago Bulls,H
Brooklyn Nets,Houston Rockets,H
Philadelphia 76ers,Miami Heat,H
Cleveland Cavaliers,Minnesota Timberwolves,A
New York Knicks,Washington Wizards,A
Dallas Mavericks,Golden State Warriors,A
Orlando Magic,Milwaukee Bucks,H
Detroit Pistons,San Antonio Spurs,H
Phoenix Suns,Sacramento Kings,A
Los Angeles Lakers,Portland Trail Blazers,A
Utah Jazz,Los Angeles Clippers,A
Oklahoma City Thunder,Toronto Raptors,A
Sacramento Kings,Denver Nuggets,H
Charlotte Hornets,Memphis Grizzlies,H
Houston Rockets,New Orleans Pelicans,H
Dallas Mavericks,Los Angeles Lakers,H
Atlanta Hawks,Orlando Magic,A
Miami Heat,Washington Wizards,H
Milwaukee Bucks,Chicago Bulls,A
Brooklyn Nets,Minnesota Timberwolves,H
Detroit Pistons,Utah Jazz,H
Phoenix Suns,Portland Trail Blazers,A
Boston Celtics,Charlotte Hornets,A
Philadelphia 76ers,Indiana Pacers,H
Los Angeles Clippers,Sacramento Kings,A
Denver Nuggets,Houston Rockets,H
Golden State Warriors,San Antonio Spurs,H
Cleveland Cavaliers,Toronto Raptors,H
Dallas Mavericks,Oklahoma City Thunder,H
Orlando Magic,Washington Wizards,A
Portland Trail Blazers,New York Knicks,H
Minnesota Timberwolves,Milwaukee Bucks,H
Phoenix Suns,Los Angeles Lakers,H
Charlotte Hornets,Cleveland Cavaliers,A
Denver Nuggets,Indiana Pacers,A
Toronto Raptors,Miami Heat,H
Utah Jazz,Chicago Bulls,A
Golden State Warriors,Minnesota Timberwolves,H
Brooklyn Nets,Dallas Mavericks,H
Oklahoma City Thunder,San Antonio Spurs,A
Memphis Grizzlies,Sacramento Kings,H
Detroit Pistons,Los Angeles Clippers,H
Atlanta Hawks,Boston Celtics,H
Miami Heat,Orlando Magic,H
Portland Trail Blazers,Washington Wizards,A
Philadelphia 76ers,Houston Rockets,H
New York Knicks,Phoenix Suns,H
New Orleans Pelicans,Los Angeles Lakers,H
Memphis Grizzlies,Los Angeles Clippers,A
Toronto Raptors,Brooklyn Nets,A
Utah Jazz,Orlando Magic,A
Indiana Pacers,Atlanta Hawks,H
Oklahoma City Thunder,Cleveland Cavaliers,A
Boston Celtics,Chicago Bulls,A
Denver Nuggets,Washington Wizards,H
Charlotte Hornets,Dallas Mavericks,A
Detroit Pistons,Golden State Warriors,A
San Antonio Spurs,Milwaukee Bucks,H
